run_id,total_reward,episode_length,total_sim_time,end_status,success,final_distance
1,-29.894351182863062,81,81.0,Conjunction (Docked),True,51.2564094340518
2,83.72158302000574,30,30.0,Conjunction (Docked),True,49.96056652239396
3,1.5134185806902565,62,62.0,Conjunction (Docked),True,50.45449186501602
4,93.02717330602452,18,18.0,Conjunction (Docked),True,51.98178679383619
5,82.03266467043159,31,31.0,Conjunction (Docked),True,50.12206007033121
6,65.91080308104753,43,43.0,Conjunction (Docked),True,50.52074587667473
7,-18.109481470637405,73,73.0,Conjunction (Docked),True,51.793734223547496
8,4.4362802392346055,70,70.0,Conjunction (Docked),True,50.87663732084719
9,-15.75279173583759,71,71.0,Conjunction (Docked),True,51.101577173792506
10,81.51713072900964,31,31.0,Conjunction (Docked),True,51.35533490797109
11,-5.544074474705226,72,72.0,Conjunction (Docked),True,51.63467307702303
12,65.15808284105512,45,45.0,Conjunction (Docked),True,51.30791167073713
13,3.2683641068734204,73,73.0,Conjunction (Docked),True,50.8919805226881
14,-6.117016277344632,60,60.0,Conjunction (Docked),True,50.280438760945145
15,9.40898210324724,55,55.0,Conjunction (Docked),True,50.888244975248085
16,64.92679760531195,43,43.0,Conjunction (Docked),True,50.22088210570423
17,36.297533994512875,62,62.0,Conjunction (Docked),True,51.86101069936107
18,41.48168229034349,60,60.0,Conjunction (Docked),True,50.06804783687568
19,47.48145608453947,50,50.0,Conjunction (Docked),True,51.29005829260043
20,-8.923855364932649,60,60.0,Conjunction (Docked),True,48.84841375600446
