run_id,reward,rso_r_N_x,rso_r_N_y,rso_r_N_z,rso_v_N_x,rso_v_N_y,rso_v_N_z,inspector_r_N_x,inspector_r_N_y,inspector_r_N_z,inspector_v_N_x,inspector_v_N_y,inspector_v_N_z,hill_x,hill_y,hill_z,v_DC_Hc_x,v_DC_Hc_y,v_DC_Hc_z,inspector_sigma_BN_x,inspector_sigma_BN_y,inspector_sigma_BN_z,inspector_omega_BN_B_x,inspector_omega_BN_B_y,inspector_omega_BN_B_z,docked_state,dV_remaining,max_range_violation,sim_time,pointing_error,torque_cmd_x,torque_cmd_y,torque_cmd_z,wheel_speeds_x,wheel_speeds_y,wheel_speeds_z,time_min,range_mag,vel_mag,sigma_1,sigma_2,sigma_3,torque_x,torque_y,torque_z,ws_0,ws_1,ws_2,pointing_error_deg
1,-2.0131281528074316,-21800000105.98264,35382276277.72765,-6992345841.793918,-83.21443429550207,-48.839003439705685,12.22175378082221,-21799996791.555817,35382278205.988686,-6992343087.50023,-84.87142626487962,-49.24658588204505,11.181542262893885,-552.5751760982333,-3457.916529107875,3166.5791387499535,0.6875249631159572,1.4915782086714984,-1.1385440436638956,-0.1460284870787973,-0.46250187750267213,-0.684370688426664,5.7686234026394085e-05,8.810798006102667e-05,-2.9578409647594157e-05,False,148.0,False,1.0,2.2738820020211046,0.0,0.0,0.0,-126.68143339025426,-98.1344930985286,132.7812755606958,0.016666666666666666,4721.202123345689,1.9984440614772807,-0.1460284870787973,-0.46250187750267213,-0.684370688426664,0.0,0.0,0.0,-126.68143339025426,-98.1344930985286,132.7812755606958,130.28384182656742
1,-2.013108796267268,-21800000272.41316,35382276180.05318,-6992345817.347939,-83.21608216777982,-48.8354775423103,12.22422539022102,-21799996964.631523,35382278106.66461,-6992343067.185723,-86.5386772033753,-49.660270433791354,10.158488705495055,-549.8372029148481,-3451.8209834485783,3162.1597250237664,1.3689921463855965,2.9971314669920868,-2.2650029586387284,-0.1459399640282659,-0.46251507734844766,-0.6843483872178312,4.081983962889727e-05,9.176880096845297e-05,-3.829543427881953e-05,False,146.0,False,2.0,2.2741076539517486,0.0,0.0,0.0,-126.68141652385985,-98.1344967593495,132.78128427772043,0.03333333333333333,4713.453423769828,3.998396544859173,-0.1459399640282659,-0.46251507734844766,-0.6843483872178312,0.0,0.0,0.0,-126.68141652385985,-98.1344967593495,132.78128427772043,130.2967707298323
1,-2.013082030699523,-21800000438.846973,35382276082.38575,-6992345792.897017,-83.21773004243137,-48.831951645641574,12.226696999263153,-21799997141.054504,35382278006.47033,-6992343048.878292,-88.21231324436759,-50.09538069340502,9.154951420531685,-545.7721295797528,-3442.6772654774054,3155.5160316699603,2.0325356534941865,4.5212907060475676,-3.377046561876342,-0.1458499014395514,-0.4625225478178596,-0.6843411551456074,2.5610433995425705e-05,8.991234308502356e-05,-4.9254970412830584e-05,False,144.0,False,3.0,2.274555810567931,0.0,0.0,0.0,-126.6814013144542,-98.13449490289162,132.78129523725656,0.05,4701.826814950455,5.998142571863225,-0.1458499014395514,-0.4625225478178596,-0.6843411551456074,0.0,0.0,0.0,-126.6814013144542,-98.13449490289162,132.78129523725656,130.3224482125004
1,-2.0130479015343523,-21800000605.284084,35382275984.72537,-6992345768.441151,-83.21937791945673,-48.828425749699505,12.229168607948608,-21799997320.833794,35382277905.35664,-6992343032.540504,-89.89046693640485,-50.55508176168456,8.170129236749684,-540.4227961324132,-3430.4484443963715,3146.673991720774,2.6746650688031717,6.0639485812518945,-4.476073884815509,-0.14576137961513444,-0.4625285920100781,-0.6843495049038508,1.3777514795344659e-05,8.274886926544321e-05,-6.121798532894091e-05,False,142.0,False,4.0,2.2752220138398065,0.0,0.0,0.0,-126.681389481535,-98.13448773941779,132.78130720027147,0.06666666666666667,4686.319508784373,7.9975335603340945,-0.14576137961513444,-0.4625285920100781,-0.6843495049038508,0.0,0.0,0.0,-126.681389481535,-98.13448773941779,132.78130720027147,130.3606188482767
1,-2.0130064767421816,-21800000771.72449,35382275887.072044,-6992345743.980342,-83.2210257988559,-48.824899854484094,12.231640216277388,-21799997503.973793,35382277803.27006,-6992343018.138775,-91.57082181807006,-51.04152681450476,7.202100318847847,-533.8374130200202,-3415.0998705192374,3135.6549858843723,3.2926932370705466,7.6239642021393275,-5.564360537957788,-0.14567730357802333,-0.46253767360181103,-0.6843721891045845,6.658669661235926e-06,7.108853833080735e-05,-7.283211187481347e-05,False,140.0,False,5.0,2.2760982248737602,0.0,0.0,0.0,-126.68138236268987,-98.13447607908685,132.78131881439802,0.08333333333333333,4666.928508094155,9.996437720775035,-0.14567730357802333,-0.46253767360181103,-0.6843721891045845,0.0,0.0,0.0,-126.68138236268987,-98.13447607908685,132.78131881439802,130.41082204248502
1,-2.012957849493825,-21800000938.168194,35382275789.425766,-6992345719.51459,-83.22267368062889,-48.82137395999534,12.234111824249489,-21799997690.473785,35382277700.15503,-6992343005.645297,-93.25081844943934,-51.55575289085718,6.247974638405569,-526.0675964522915,-3396.6009715715236,3122.4744278600815,3.884905036432981,9.199306104269233,-6.644892439986535,-0.14560007560418864,-0.46255391300980914,-0.6844063415477211,5.058437648028115e-06,5.624968687829959e-05,-8.278448840162935e-05,False,138.0,False,6.0,2.2771733699312766,0.0,0.0,0.0,-126.68138076245786,-98.13446124023541,132.78132876677455,0.1,4643.650700554236,11.994762001854715,-0.14560007560418864,-0.46255391300980914,-0.6844063415477211,0.0,0.0,0.0,-126.68138076245786,-98.13446124023541,132.78132876677455,130.47242331664506
1,-2.0129021408633165,-21800001104.615192,35382275691.78654,-6992345695.043895,-83.22432156477568,-48.817848066233246,12.23658343186491,-21799997880.327797,35382277595.9558,-6992342995.039449,-94.92782890179457,-52.097847616862396,5.304159605987377,-517.1666690547917,-3374.9264675737836,3107.1407732380203,4.4504635885729815,10.78731858583657,-7.721144289476792,-0.14553132455607048,-0.46258062235061026,-0.6844478007460371,9.15747660710494e-06,3.990975412386086e-05,-8.995010556412505e-05,False,136.0,False,7.0,2.2784341777368518,0.0,0.0,0.0,-126.68138486149682,-98.13444490030265,132.7813359323917,0.11666666666666667,4616.482839763346,13.992460025473328,-0.14553132455607048,-0.46258062235061026,-0.6844478007460371,0.0,0.0,0.0,-126.68138486149682,-98.13444490030265,132.7813359323917,130.54466228268168
1,-2.012839502323033,-21800001271.065487,35382275594.15437,-6992345670.568256,-83.22596945129628,-48.81432217319781,12.23905503912365,-21799998073.524704,35382277490.61772,-6992342986.3085375,-96.59927618215852,-52.6672811021057,4.366691036463848,-507.1883924270247,-3350.0570254991026,3089.655059912967,4.989138469855368,12.38503215735355,-8.796827158353437,-0.14547172232228098,-0.46261993143419405,-0.6844915792878634,1.8492250766703123e-05,2.3915716500657735e-05,-9.351892353949224e-05,False,134.0,False,8.0,2.279866220409549,0.0,0.0,0.0,-126.68139419627099,-98.13442890626503,132.78133950120966,0.13333333333333333,4585.42152138213,15.989518199871341,-0.14547172232228098,-0.46261993143419405,-0.6844915792878634,0.0,0.0,0.0,-126.68139419627099,-98.13442890626503,132.78133950120966,130.62671228390985
1,-2.0127701174868826,-21800001437.519077,35382275496.52926,-6992345646.087675,-83.22761734019069,-48.81079628088904,12.241526646025713,-21799998270.04848,35382277384.087654,-6992342979.447829,-98.26271245228757,-53.26326933618608,3.431590145363474,-496.18643651926897,-3321.979289853814,3070.0109706584117,5.5009818415965315,13.989457885949115,-9.875616285146094,-0.1454209079505815,-0.4626725468703952,-0.6845324263741531,3.2007485890315254e-05,1.0075428819834328e-05,-9.308741970831149e-05,False,132.0,False,9.0,2.281455003075642,0.0,0.0,0.0,-126.68140771150611,-98.13441506597735,132.7813390697058,0.15,4550.463134887079,17.98592589153423,-0.1454209079505815,-0.4626725468703952,-0.6845324263741531,0.0,0.0,0.0,-126.68140771150611,-98.13441506597735,132.7813390697058,130.71774282524055
1,-2.0126942037154207,-21800001603.975964,35382275398.911194,-6992345621.60215,-83.22926523145891,-48.807270389306936,12.243998252571094,-21799998469.87862,35382277276.31403,-6992342974.459872,-99.9158931500828,-53.885047196565814,2.495214262966092,-484.21428116363217,-3290.6854358584537,3048.195484410386,5.986079391178065,15.597832100443119,-10.960866257015399,-0.14537752807760967,-0.4627376715426093,-0.684565420409018,4.81754399189296e-05,-4.660491444494084e-08,-8.870423077286423e-05,False,130.0,False,10.0,2.283187056997143,0.0,0.0,0.0,-126.68142387946014,-98.13440494394362,132.78133468651686,0.16666666666666666,4511.603907595792,19.981644121925484,-0.14537752807760967,-0.4627376715426093,-0.684565420409018,0.0,0.0,0.0,-126.68142387946014,-98.13440494394362,132.78133468651686,130.81698220483162
