run_id,reward,rso_r_N_x,rso_r_N_y,rso_r_N_z,rso_v_N_x,rso_v_N_y,rso_v_N_z,inspector_r_N_x,inspector_r_N_y,inspector_r_N_z,inspector_v_N_x,inspector_v_N_y,inspector_v_N_z,hill_x,hill_y,hill_z,v_DC_Hc_x,v_DC_Hc_y,v_DC_Hc_z,inspector_sigma_BN_x,inspector_sigma_BN_y,inspector_sigma_BN_z,inspector_omega_BN_B_x,inspector_omega_BN_B_y,inspector_omega_BN_B_z,docked_state,dV_remaining,max_range_violation,sim_time,pointing_error,torque_cmd_x,torque_cmd_y,torque_cmd_z,wheel_speeds_x,wheel_speeds_y,wheel_speeds_z,time_min,range_mag,vel_mag,sigma_1,sigma_2,sigma_3,torque_x,torque_y,torque_z,ws_0,ws_1,ws_2,pointing_error_deg
20,-0.0340079026540587,28536462198.045414,-30705263379.707115,4600798269.099443,45.92974621275276,52.80739561934723,67.47961155188067,28536458221.21305,-30705264473.684765,4600795561.996951,47.7568383339216,52.920616443174474,68.29719653992866,-2189.913510871844,-4352.1705353537645,776.709142818628,1.2431437295801735,1.4922639753157116,-0.49725426478512763,-0.4360156481885399,-0.49861208663417794,-0.2554740240039513,-8.479764905570048e-05,5.062847428747629e-05,-4.1676624976106734e-05,False,148.0,False,1.0,1.7243610467879675,0.0,0.0,0.0,111.23358673386687,93.61760512616239,99.51320975997369,0.016666666666666666,4933.597738612114,2.0048740380050196,-0.4360156481885399,-0.49861208663417794,-0.2554740240039513,0.0,0.0,0.0,111.23358673386687,93.61760512616239,99.51320975997369,98.79861033771122
20,-0.03398873788351079,28536462289.910355,-30705263274.08843,4600798404.057758,45.9351945435008,52.81129454483035,67.47870401552687,28536458320.381065,-30705264367.600983,4600795700.211751,49.58673066781717,53.043840271065974,69.10694654152901,-2184.95490240108,-4346.249619221532,774.4688745458693,2.4793051803531987,2.981833616854455,-1.0003308273044988,-0.43602160101896675,-0.49860379335346683,-0.25555514484724506,-9.970981677581172e-05,4.1571756882483296e-05,-2.3440623909759766e-05,False,146.0,False,2.0,1.7240436951817733,0.0,0.0,0.0,111.23360164603459,93.61761418287979,99.51319152397264,0.03333333333333333,4925.8213239773695,4.004865498363863,-0.43602160101896675,-0.49860379335346683,-0.25555514484724506,0.0,0.0,0.0,111.23360164603459,93.61761418287979,99.51319152397264,98.78042743005459
20,-0.033962078549200414,28536462381.786194,-30705263168.461937,4600798539.014259,45.940642869296944,52.81519347280951,67.47779648106003,28536458423.21096,-30705264261.240154,4600795840.036511,51.417671204901744,53.182363269551246,69.91192643279807,-2177.545869571306,-4337.338341919836,771.2023655146795,3.7045157628664116,4.476953325146048,-1.5136262482599578,-0.43604552406458963,-0.4985905881158523,-0.2556343644740263,-0.00010903752709430713,2.726240510515931e-05,-5.42325586244867e-06,False,144.0,False,3.0,1.7236691273912559,0.0,0.0,0.0,111.2336109737449,93.61762849223157,99.51317350660459,0.05,4914.159439309067,6.004799125056847,-0.43604552406458963,-0.4985905881158523,-0.2556343644740263,0.0,0.0,0.0,111.2336109737449,93.61762849223157,99.51317350660459,98.7589662765164
20,-0.03392796969988798,28536462473.672928,-30705263062.82765,4600798673.968945,45.94609119014119,52.81909240328469,67.47688894848015,28536458529.704987,-30705264154.56938,4600795981.46027,53.249735708742804,53.337333960131154,70.71142544698334,-2167.7100420883053,-4325.4252012067755,766.8872796973983,4.917912927737542,5.977791197840396,-2.038168397477762,-0.43608665997044227,-0.49857556865372443,-0.25570686550737226,-0.0001120405238025798,8.83501403737642e-06,1.0946289044920572e-05,False,142.0,False,4.0,1.723258734281826,0.0,0.0,0.0,111.23361397674161,93.61764691962264,99.51315713705968,0.06666666666666667,4898.610629307746,8.004622763520041,-0.43608665997044227,-0.49857556865372443,-0.25570686550737226,0.0,0.0,0.0,111.23361397674161,93.61764691962264,99.51315713705968,98.73545248340481
20,-0.03388647953982361,28536462565.570557,-30705262957.185562,4600798808.921815,45.95153950603355,52.822991336255896,67.47598141778722,28536458639.86518,-30705264047.55299,4600796124.471186,55.0828219084365,53.51014621123079,71.50500394728466,-2155.473309472235,-4310.4978997610615,761.4996213680918,6.118364585696568,7.484752841887599,-2.5747941950923954,-0.43614288710023813,-0.4985619771112115,-0.2557683624513474,-0.00010848012362928318,-1.2248821389923175e-05,2.4369495537390513e-05,False,140.0,False,5.0,1.7228339493808125,0.0,0.0,0.0,111.23361041634143,93.61766800345806,99.51314371385318,0.08333333333333333,4879.174008480888,10.004272859870023,-0.43614288710023813,-0.4985619771112115,-0.2557683624513474,0.0,0.0,0.0,111.23361041634143,93.61766800345806,99.51314371385318,98.71111410137587
20,-0.03383769961886279,28536462657.479084,-30705262851.53568,4600798943.87287,45.95698781697401,52.82689027172312,67.47507388898126,28536458753.69304,-30705263940.15191,4600796269.056999,56.91665280024057,53.702488699287095,72.29245303973445,-2140.864448017554,-4292.542838315278,755.0139888999755,7.304430921412794,8.998481725386021,-3.1242008304533027,-0.43621088725068896,-0.4985529429808486,-0.2558154413831256,-9.863831135644051e-05,-3.431648955541629e-05,3.3781609611952234e-05,False,138.0,False,6.0,1.722415197913198,0.0,0.0,0.0,111.23360057452916,93.61769007112623,99.5131343017391,0.1,4855.849125229483,12.003666742991603,-0.43621088725068896,-0.4985529429808486,-0.2558154413831256,0.0,0.0,0.0,111.23360057452916,93.61769007112623,99.5131343017391,98.68712140961665
20,-0.03378174547754509,28536462749.39851,-30705262745.878,4600799078.82211,45.96243612296258,52.83078920968637,67.47416636206223,28536458871.189156,-30705263832.32308,4600796415.205385,58.75078407309672,53.916366354783136,73.07373956909218,-2123.9157530900593,-4271.544713030514,747.4037756632762,8.474347801835288,10.519836134038284,-3.686998003561233,-0.43628640825401066,-0.4985512348547144,-0.2558458307537213,-8.329549211240507e-05,-5.561718898779989e-05,3.8436153930512084e-05,False,136.0,False,7.0,1.7220209792812446,0.0,0.0,0.0,111.23358523170992,93.61771137182566,99.51312964719479,0.11666666666666667,4828.635911468037,14.00269535595746,-0.43628640825401066,-0.4985512348547144,-0.2558458307537213,0.0,0.0,0.0,111.23358523170992,93.61771137182566,99.51312964719479,98.66453434580029
20,-0.03371875742940709,28536462841.32883,-30705262640.21252,4600799213.769536,45.967884423999266,52.83468815014563,67.47325883703017,28536458992.35292,-30705263724.01886,4600796562.904224,60.584607965299014,54.154059198448884,73.84896547670411,-2104.6636441520236,-4247.486154333635,738.641287987338,9.626054924507267,12.04984040805141,-4.263721769115664,-0.43636460077560857,-0.4985590407116442,-0.2558585817985658,-6.36686294488179e-05,-7.4461008413461e-05,3.7964145961401824e-05,False,134.0,False,8.0,1.7216671735006954,0.0,0.0,0.0,111.23356560484726,93.6177302156451,99.51313011920276,0.13333333333333333,4797.534641729104,16.00121590984791,-0.43636460077560857,-0.4985590407116442,-0.2558585817985658,0.0,0.0,0.0,111.23356560484726,93.6177302156451,99.51313011920276,98.64426276780749
20,-0.03364890199360357,28536462933.270046,-30705262534.539246,4600799348.715146,45.973332720084066,52.83858709310089,67.47235131388506,28536459117.182175,-30705263615.18679,4600796712.141877,62.41734978276636,54.41798424797726,74.61837269926001,-2083.149052205517,-4220.347563287319,728.6980397899208,10.757294545836935,13.589611648404192,-4.854771327591968,-0.43644040268826045,-0.49857779422100873,-0.2558541441745035,-4.131466664659301e-05,-8.935315729454395e-05,3.2403316475649324e-05,False,132.0,False,9.0,1.721366571929733,0.0,0.0,0.0,111.23354325088445,93.61774510779398,99.51313568003224,0.15,4762.54599577197,17.99904817882171,-0.43644040268826045,-0.49857779422100873,-0.2558541441745035,0.0,0.0,0.0,111.23354325088445,93.61774510779398,99.51313568003224,98.62703956647636
20,-0.03357237405640456,28536463025.22216,-30705262428.858173,4600799483.658941,45.97878101121699,52.84248603855216,67.47144379262689,28536459245.67286,-30705263505.769802,4600796862.907596,64.24806492890252,54.7104442688619,75.38240531332183,-2059.4174519612184,-4190.107116318068,717.5453322728022,11.86579919335364,15.140264878088102,-5.46025809000655,-0.43650894056422523,-0.4986080608979225,-0.2558343307188707,-1.8006911776957e-05,-9.911263515768496e-05,2.219502467223147e-05,False,130.0,False,10.0,1.721128645392498,0.0,0.0,0.0,111.2335199431296,93.61775486727184,99.51314588832405,0.16666666666666666,4723.671156158972,19.995980333185518,-0.43650894056422523,-0.4986080608979225,-0.2558343307188707,0.0,0.0,0.0,111.2335199431296,93.61775486727184,99.51314588832405,98.61340738005862
