rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[-6759327.69370213  2809508.58378492   -16270.68196466],[-2817.04497141 -6837.42021391     8.98885513],[-6758741.44753463  2809823.22360799   -15718.46218405],[-2814.44460628 -6834.00714517     9.61252513],[-421.80872974 -514.88479538  551.90625676],[-1.61276115 -3.7228366   0.62625789],[-0.38464195 -0.1688897   0.46821542],[0.16492593 0.08910063 0.10434621],0.09790350049149049,22.613837568284296
[-6787153.77419437  2740992.60040546   -16179.96516827],[-2748.12285258 -6865.66071245     9.15435635],[-6786550.13264044  2741349.25030143   -15605.3307003 ],[-2746.38033772 -6861.46390304    11.39294618],[-427.43677724 -556.03692884  574.37599265],[-0.61088408 -4.10936285  2.24407894],[-0.2430452   0.30640463  0.2919345 ],[ 0.05661534 -0.00437147 -0.02821813],0.11456623388895348,20.613837568284296
[-6814289.19699202  2672197.68955077   -16087.59782298],[-2678.91460528 -6893.2052096      9.31896198],[-6813680.19464999  2672603.02066909   -15494.66366478],[-2678.37561436 -6888.34144495    11.14595129],[-420.29125743 -598.94520707  592.76300651],[ 0.66469473 -4.297878    1.83570534],[-0.2523685   0.08987591  0.45423236],[-0.18306179 -0.00822983 -0.02979348],0.12044631150809422,19.17035514737099
[-6840731.13604835  2603130.82609586   -15993.58897261],[-2609.42728249 -6920.05074509     9.48265444],[-6840129.993714    2603599.68542899   -15383.21815361],[-2610.21059091 -6913.70241866    11.22324942],[-396.41947075 -651.22482427  610.33724167],[ 2.32807109 -5.25188346  1.75433576],[-0.58710394 -0.43091762  0.03467445],[-0.13571792  0.05253074 -0.08938031],0.16168896849478168,17.17035514737099
[-6866476.83600674  2533799.01415929   -15897.94783651],[-2539.66796913 -6946.19443055     9.64541621],[-6865880.91986202  2534335.25298144   -15271.04320057],[-2540.18816299 -6939.46113556    11.29563981],[-374.78623924 -708.56807645  627.01204486],[ 2.09944373 -5.7559724   1.66430521],[0.30585772 0.26475064 0.40006009],[-0.16683842 -0.12293959  0.00360025],0.188155075261913,16.69167548822708
[-6891523.61251645  2464209.28638228   -15800.68380892],[-2469.64378134 -6971.63344987     9.80722983],[-6890914.99694237  2464810.33680551   -15148.69238999],[-2468.37155637 -6965.15717608    12.31263591],[-372.11770881 -770.01476599  652.20626307],[ 0.19902357 -6.14714129  2.51613182],[ 0.57589649 -0.09050078  0.49647539],[ 0.14816712 -0.160587    0.15655747],0.1818693152631599,14.69167548822708
[-6915868.85254109  2394368.70320424   -15701.80645836],[-2399.36186572 -6996.36505958     9.96807791],[-6915242.76946462  2395042.07511275   -15022.95047433],[-2397.61290156 -6989.13809661    12.65112773],[-372.78334854 -840.23499417  679.18548459],[-0.14324746 -7.02109758  2.69449661],[-0.88315763 -0.03142989  0.31610905],[-0.16091814 -0.16025365 -0.08830984],0.21737702145312732,13.77728051592312
[-6939510.01465958  2324284.35213446   -15601.32552689],[-2328.8293986  -7020.38658924    10.12794313],[-6938863.20541985  2325031.64763245   -14888.99142155],[-2326.75460089 -7012.999752      13.47218867],[-377.50273124 -913.05769941  712.77623207],[-0.55129608 -7.27724087  3.35548803],[0.25404768 0.2210285  0.04667467],[-0.16691364  0.08338571  0.16232023],0.2320673855222761,13.016294116602912
[-6962444.62935959  2253963.34702031   -15499.25092941],[-2258.05358528 -7043.69544173    10.28680825],[-6961779.69880315  2254787.71060197   -14746.93860272],[-2256.23930069 -7035.99450388    14.28087049],[-380.30015784 -988.043118    752.87740269],[-0.361352   -7.49544859  4.00633569],[0.3642344  0.14858243 0.77717444],[ 0.09499532 -0.00916081  0.17220654],0.24337625541205593,12.236401002083044
[-6984670.2993235   2183412.82731187   -15395.59275281],[-2187.04165927 -7066.28909369    10.4446561 ],[-6983974.98498765  2184312.19549493   -14594.34506502],[-2184.00106863 -7058.79488971    15.33419771],[ -396.9915825  -1064.73357738   801.91215489],[-1.75261903 -7.65190404  4.89945763],[-0.80295132 -0.10979289 -0.43268344],[-0.09029278 -0.22048555 -0.03775119],0.25249594063447567,10.704422536160608
[-7006184.69970657  2112639.95732309   -15290.36125514],[-2115.80088152 -7088.16509576    10.60146963],[-7005446.8611235   2113603.07078346   -14451.6526989 ],[-2111.54601757 -7081.79723412    14.3433516 ],[ -430.12220272 -1133.92056054   839.43100232],[-3.38932776 -6.88496354  3.74765483],[ 0.1782215   0.03755013 -0.24664217],[-0.14826464 -0.18163311 -0.01337144],0.23240247211649928,8.704422536160608
[-7026985.57840765  2041651.92548969   -15183.56686471],[-2044.33853965 -7109.321073      10.75723184],[-7026212.59278287  2042682.6678815    -14306.65562222],[-2040.82114907 -7102.56524606    14.57310221],[ -456.52421586 -1204.20884419   877.71104671],[-2.71804764 -7.00188922  3.8235792 ],[-0.14127574 -0.43896979 -0.41038169],[ 0.10412696 -0.11921482 -0.04894822],0.24188125167383379,7.855819363123857
[-7047070.75633192  1970455.9436236    -15075.22017912],[-1972.66194719 -7129.75472516    10.91192585],[-7046264.79484593  1971555.22739919   -14171.0653864 ],[-1969.36144745 -7122.90804229    13.63172515],[ -482.03114566 -1274.38148761   905.03725007],[-2.62882644 -6.99122873  2.72803572],[-0.03861765 -0.6318527  -0.21241774],[ 0.15324575  0.06043143 -0.07414174],0.22832353154661608,6.741229372586493
[-7066438.12764601  1899059.24616441   -14965.33196427],[-1900.77844277 -7149.46382701    11.0655349 ],[-7065597.7736555   1900237.02340018   -14016.81927213],[-1897.33605299 -7141.62235283    15.49657199],[ -507.82308854 -1354.1067558    949.49511757],[-2.66738365 -7.94616891  4.44100304],[ 0.41661082 -0.46908904  0.50902952],[ 0.17373075 -0.02104463  0.07973094],0.25373620966592,4.741229372586493
[-7085085.66002523  1827469.08942757   -14853.91315328],[-1828.69538936 -7168.44622866    11.21804231],[-7084197.24221754  1828718.06186454   -13848.33637852],[-1823.88552311 -7161.33502457    16.91942848],[ -550.36237571 -1429.76022083  1006.62305042],[-4.33851661 -7.52206778  5.70773803],[-0.11473687 -0.05396598 -0.28094506],[ 0.16934066 -0.15147595  0.13377815],0.27176776117819834,2.741229372586493
[-7103011.39489283  1755692.75084962   -14740.97484545],[-1756.42017345 -7186.69985584    11.36943152],[-7102060.39331551  1757002.93299346   -13668.69332743],[-1750.15777532 -7180.58765357    18.0345605 ],[ -610.99238866 -1498.45899483  1073.34889285],[-6.14133785 -6.8083262   6.66720312],[ 0.0541192  -0.22386532  0.05989264],[0.18325827 0.0275755  0.01455774],0.28900722770318765,0.7412293725864929
[-7120213.44765144  1683737.52823049   -14626.52830505],[-1683.96020428 -7204.22271018    11.51968609],[-7119202.1276292   1685103.34246889   -13492.15303529],[-1677.92372089 -7198.66869202    17.72339205],[ -672.13380049 -1560.12785798  1135.45638174],[-6.18630693 -6.10483588  6.20504126],[ 0.83571854 -0.08612384  0.17832965],[ 0.17899246 -0.15474615 -0.10848613],-0.7094538360964893,0.0
[ 3423775.79592874 -4180309.12662576 -4832536.06828713],[ 2186.21316828  6082.53047897 -3640.80891845],[ 3423447.03771096 -4179944.41973387 -4832105.74160834],[ 2185.86342643  6083.3597972  -3639.77731095],[-652.45314732  -13.26471212  -20.07663295],[-1.34469324  0.72968488  0.31397047],[0.06848741 0.72270341 0.53796675],[-2.43956872e-05 -4.64609488e-05 -8.41556952e-05],-0.08888030857862303,48.52559009527266
[ 3445458.69373213 -4119266.50608948 -4868690.44265262],[ 2150.32770514  6125.88846194 -3590.00151656],[ 3445128.10689887 -4118903.25877605 -4868257.73787325],[ 2150.14171354  6125.74644805 -3589.75908349],[-654.19174752   -9.48387054  -20.3200592 ],[-0.18024222  0.37993443 -0.02423355],[ 0.17756093  0.63825923 -0.06132085],[ 0.21080653 -0.197526   -0.08162211],-0.24223199978184812,47.25073466845842
[ 3466781.58243127 -4057793.46856946 -4904334.81856764],[ 2114.21196307  6168.61309222 -3538.81009965],[ 3466465.10707775 -4057431.74920203 -4903894.16331468],[ 2115.61991042  6168.46415623 -3538.01041847],[-652.02921548   -3.8150233    -4.23672947],[0.21180211 0.56473614 1.60839009],[-0.16531174 -0.15719752 -0.11976321],[ 0.01437456 -0.24351645  0.20328224],-0.07469502480121873,45.55914148465183
[ 3487742.17774944 -3995896.37099086 -4939465.38209239],[ 2077.86964892  6210.69970084 -3487.23991694],[ 3487431.54520368 -3995536.46193751 -4939026.27101016],[ 2078.45068344  6210.52241644 -3487.38969998],[-6.47171988e+02  3.73732599e+00 -3.13822367e-01],[0.48325162 0.75030532 0.39231161],[0.12210553 0.0206468  0.47153398],[0.20022262 0.03397799 0.02306357],-0.16057421546490094,44.296781181348585
[ 3508338.23260744 -3933581.61664741 -4974078.37199288],[ 2041.30449527  6252.14368314 -3435.29626031],[ 3508030.93938036 -3933232.39384875 -4973643.13676653],[ 2041.63519291  6251.07868694 -3435.67923614],[-6.37022984e+02  4.13574613e+00 -8.05684585e-02],[1.00521782 0.02951463 0.02334595],[0.24196564 0.04479357 0.21599521],[-0.14934165 -0.15481015 -0.01570508],-0.15401298873753747,43.33799097178296
[ 3528567.53737931 -3870855.65455551 -5008170.08016502],[ 2004.52026013  6292.94049933 -3382.98446376],[ 3528267.19449052 -3870518.22346757 -5007748.88219651],[ 2005.21212537  6291.76479385 -3384.3836528 ],[-617.5635533     9.05867767   -2.55276873],[ 1.94111591  0.47241396 -0.24719108],[ 0.24669194 -0.5398979   0.22791376],[ 0.13467924 -0.13992033  0.12012213],-0.04138235442614369,42.24245068842277
[ 3548427.9201445  -3807724.97880296 -5041736.85205353],[ 1967.52072651  6333.08567501 -3330.30990297],[ 3548127.55863498 -3807417.99535711 -5041328.29517894],[ 1967.51583329  6330.04422742 -3331.56961286],[-592.65298879   -4.77682533  -10.68686243],[ 2.46736265 -1.40894839 -0.81334329],[-0.23470243  0.20933289 -0.27708915],[ 0.00236186 -0.2642126   0.11139148],0.02117884440887724,40.24245068842277
[ 3567917.24693634 -3744196.1278922  -5074775.08706592],[ 1930.30970211  6372.57480175 -3277.27799474],[ 3567613.78509935 -3743921.38732719 -5074377.05283775],[ 1929.99680235  6369.35372439 -3278.32601288],[-570.16664271  -22.41072453  -20.26006745],[ 2.22142069 -1.78628945 -0.95722114],[-0.27188201 -0.3208392   0.43293068],[-0.06675634 -0.24958427  0.01994313],0.04039766840033651,39.83351074748642
[ 3587033.42198692 -3680275.68407829 -5107281.23898113],[ 1892.89101893  6411.40353754 -3223.89419646],[ 3586733.22221929 -3680050.7303472  -5106897.56934543],[ 1893.2145765   6406.42795918 -3225.32665356],[-533.33655945  -52.27344719  -27.31431938],[ 3.64371675 -3.02381754 -0.70530304],[ 0.37174451 -0.56757973  0.42935043],[-0.11230682 -0.19393429 -0.07475252],0.11581134423041409,37.9187583037654
[ 3605774.38796817 -3615970.27270161 -5139251.81635312],[ 1855.26853288  6449.56760741 -3170.16400566],[ 3605482.98715689 -3615781.95938042 -5138886.45362431],[ 1856.14599769  6445.90653027 -3171.99096352],[-498.19124117  -68.40330126  -31.50776025],[ 3.48986826 -1.64885398 -0.41922629],[-0.00551628 -0.61390998 -0.25003373],[-0.09625493 -0.01598676  0.19035984],0.07876839310315849,36.440186849153406
[ 3624138.12622933 -3551286.56151525 -5170683.3829091 ],[ 1817.44612343  6487.06280389 -3116.09295937],[ 3623862.89384748 -3551128.82110175 -5170353.82930495],[ 1819.06078479  6484.00823938 -3119.67043565],[-450.231733    -70.71771862  -39.12634599],[ 4.7860793  -0.28049148 -0.76172467],[-0.20771414 -0.43818283  0.01062411],[ 0.14978604 -0.04452883  0.03064942],0.1173684728529388,34.440186849153406
[ 3642122.65703046 -3486231.26000726 -5201572.55794239],[ 1779.42769323  6523.88498753 -3061.68663369],[ 3641864.7090012  -3486094.46645912 -5201287.144518  ],[ 1781.15422658  6521.7927154  -3066.09752101],[-400.46653717  -61.84489075  -50.12230574],[ 4.97887649  0.83634088 -1.09941436],[ 1.67318209e-01 -7.30686724e-01  1.60844421e-04],[-0.10389101 -0.18351332 -0.18112362],0.1369126819492585,33.16145811834252
[ 3659726.03977231 -3420811.11871776 -5231916.01670002],[ 1741.2171677   6560.03008745 -3006.95064318],[ 3659489.16531106 -3420678.33205525 -5231664.68439666],[ 1743.32282643  6559.6315     -3010.35586476],[-363.92328246  -42.29881726  -51.77247713],[ 3.66831133  1.91717907 -0.16480282],[-0.07527443 -0.01534959  0.51066749],[-0.08509067 -0.21123899 -0.12678943],0.0855547051391278,31.161458118342523
[ 3676946.37322219 -3355032.92855087 -5261710.49076471],[ 1702.81849466  6595.49410181 -2951.89064032],[ 3676740.92474545 -3354898.52574555 -5261494.98084178],[ 1705.95954729  6595.65747746 -2955.47022769],[-323.10968298  -15.42239008  -45.60701914],[4.10346621 2.64580605 0.61676054],[ 0.18346672 -0.42978666  0.21292182],[-0.0031204  -0.18673668 -0.14228766],0.1278612248235192,29.968735384553675
[ 3693781.79573599 -3288903.52008171 -5290952.76843147],[ 1664.23564394  6630.27309834 -2896.51231499],[ 3693605.35488387 -3288779.41494993 -5290776.27333353],[ 1667.13505541  6629.24475133 -2900.41144841],[-275.27878686    0.71500932  -43.64694599],[4.79488313 1.56473261 0.19623125],[-4.84309799e-01  5.38935831e-01 -1.89737374e-04],[ 0.17802893 -0.12859624  0.00283448],0.1321013630833519,28.70797836651239
[ 3710230.48547632 -3222429.76285831 -5319639.69507856],[ 1625.47260698  6664.36321482 -2840.82139388],[ 3710081.49894869 -3222306.96882411 -5319500.23201036],[ 1628.21688321  6664.23319807 -2844.52253775],[-233.40689115   22.79830605  -41.55439861],[4.20579183 2.16539861 0.20948376],[-0.05750162  0.01501469 -0.3403616 ],[ 0.1636658  -0.02502736 -0.14336269],0.12263727689452421,27.778587465272555
[ 3726290.66062656 -3155618.56469867 -5347768.17353278],[ 1586.53339645  6697.76065955 -2784.8236399 ],[ 3726163.40829456 -3155482.31002333 -5347657.5854519 ],[ 1588.70578413  6699.10751677 -2787.70926836],[-206.51952196   52.96993497  -39.14191134],[2.71618987 2.98955676 0.24148826],[ 0.12535847 -0.48574352 -0.78918185],[ 0.02542116  0.01427652 -0.10740028],0.08261863738059023,26.001017848167105
[ 3741960.57960098 -3088476.87098292 -5375335.16442914],[ 1547.42204578  6730.46171187 -2728.52485168],[ 3741850.14124658 -3088333.78303242 -5375250.92086294],[ 1549.10252001  6731.14557702 -2731.15758331],[-180.63505918   74.61789107  -39.63478107],[ 2.60758034  2.13823992 -0.04901828],[0.12122813 0.2647071  0.75987474],[ 0.0525055  -0.1865853   0.02082009],0.05554644597954205,25.138798373986106
[ 3757238.54125078 -3021011.66394066 -5402337.68656465],[ 1508.14260885  6762.46272264 -2671.93086291],[ 3757152.5080299  -3020859.99048993 -5402280.94933384],[ 1510.58231252  6763.32155035 -2674.67996181],[-150.25608873   99.31907465  -34.41646876],[3.06060477 2.43893799 0.52210536],[ 0.69400427  0.10328561 -0.00508107],[-0.07264875 -0.21665456 -0.00691533],0.08766928193233205,24.349104699977467
[ 3772122.885066   -2953229.96193362 -5428772.81724642],[ 1468.69915949  6793.76011466 -2615.04754181],[ 3772044.0146009  -2953078.6701979  -5428748.32563611],[ 1469.41479378  6793.72199303 -2618.27074736],[-121.16443432  113.4474206   -46.45902655],[ 2.92150274  1.38299992 -1.20392241],[ 0.0033637  -0.04586526 -0.02673055],[-0.33015847  0.04873272  0.19615595],0.048386815408583916,22.349104699977467
[ 3786611.99137335 -2885138.81873359 -5454637.69263371],[ 1429.09579112  6824.35038317 -2557.88079051],[ 3786559.71029121 -2884990.94503306 -5454649.01905429],[ 1431.75429546  6824.00837931 -2561.46150595],[-77.73949252 129.25169386 -44.48372287],[4.35711133 1.53589058 0.19789277],[-0.49666853  0.59990661  0.56146907],[-0.02532327  0.05406277  0.22515436],0.10687934550597086,20.349104699977467
[ 3800704.28152986 -2816745.32279581 -5479929.50807418],[ 1389.33661632  6854.23009633 -2500.43654444],[ 3800689.30115881 -2816602.84162691 -5479968.45707582],[ 1393.0664339   6853.69038461 -2503.19807137],[-33.81924709 141.59911154 -29.12507297],[4.40378511 1.18969788 1.53618689],[-0.11701728 -0.74749564 -0.11365095],[0.03865469 0.03399569 0.20647539],0.1213583183772729,18.98669965341871
[ 3814398.21811227 -2748056.59652784 -5504645.518434  ],[ 1349.4257664   6883.39589559 -2442.72077177],[ 3814405.42671292 -2747923.29495019 -5504724.62709775],[ 1351.64464668  6882.47723521 -2446.73636676],[ 13.35016606 150.94415913 -33.42288285],[ 4.72633791  0.88611165 -0.42945797],[-0.19825752 -0.20590744  0.2794763 ],[0.24161923 0.04651985 0.05971431],0.11548877736774518,16.98669965341871
[ 3827692.30510227 -2679079.79555392 -5528783.03842198],[ 1309.36739095  6911.84449623 -2384.73947276],[ 3827729.19007311 -2678968.60672263 -5528906.66253033],[ 1312.33532764  6909.63228887 -2389.19108526],[ 72.77614855 150.0907672  -34.3914415 ],[ 5.94236038 -0.14627928 -0.09651244],[ 0.08470997 -0.08071406  0.16905562],[-0.04217419 -0.12541404 -0.14502782],0.16161365701965671,15.431345460613061
[ 3840585.08806736 -2609822.10797508 -5552339.4429075 ],[ 1269.16565747  6939.57268769 -2326.49867916],[ 3840657.39736936 -2609732.90538554 -5552515.36588686],[ 1272.70876034  6937.37288071 -2331.72916569],[141.15509272 151.62492043 -34.92499261],[ 6.84110559  0.08326678 -0.0530101 ],[-0.26532565 -0.62551831 -0.20624295],[-0.21745381 -0.19583501  0.04536692],0.19570734836973552,14.464542869565557
[ 3853075.1543375  -2540290.75362491 -5575312.16723231],[ 1228.82475088  6966.57733409 -2268.00445359],[ 3853184.33196801 -2540234.46286718 -5575537.77666855],[ 1232.5126518   6963.28474916 -2272.97428993],[212.15736954 140.98157575 -33.18837115],[ 7.09203652 -1.13714715  0.17400246],[0.5112494  0.4774723  0.27055639],[ 0.01443783 -0.0029473  -0.04237659],0.20386048649946828,13.334207660255643
[ 3865161.13317735 -2470492.98332112 -5597698.70751605],[ 1188.34887313  6992.85537455 -2209.26288891],[ 3865306.12718053 -2470469.40353568 -5597985.21054506],[ 1191.93203259  6989.58266342 -2215.35407634],[290.98679962 132.298256   -38.56302346],[ 7.87793603 -0.94920377 -0.53712242],[0.06593676 0.47977872 0.52974004],[-0.20874764  0.04213616 -0.00852616],0.2242878357999183,12.210890545518275
[ 3876841.69595413 -2400436.07811305 -5619496.62095551],[ 1147.74224271  7018.40382369 -2150.28010758],[ 3877018.39966174 -2400446.74557291 -5619839.83982143],[ 1150.91520305  7014.97730525 -2155.95414973],[364.71778242 118.68798312 -45.06979876],[ 7.3642393 -1.4366587 -0.6503138],[ 0.14860919 -0.56687979  0.67557239],[-0.22163769 -0.16739302 -0.03763737],0.21870166805437355,11.601004508415182
[ 3888115.55630116 -2330127.34852513 -5640703.52611746],[ 1107.00909427  7043.21977194 -2091.06226103],[ 3888313.86879248 -2330176.18270734 -5641101.73039663],[ 1109.17242973  7039.40119354 -2096.56384344],[432.67844536  97.83880744 -59.1286749 ],[ 6.78089553 -2.15460774 -1.40548004],[ 0.13047028 -0.83846147 -0.05119796],[-0.07549289  0.06675924 -0.00357543],0.20629051015410693,10.500304267040265
[ 3898981.47027686 -2259574.13379642 -5661317.10322522],[ 1066.15367812  7067.300386   -2031.61552903],[ 3899202.35866225 -2259660.55635735 -5661767.4881992 ],[ 1068.41418026  7063.53957311 -2036.8371989 ],[498.38862577  75.51885265 -70.80143514],[ 6.55539036 -2.29936872 -1.16682793],[ 0.13201438 -0.25640358 -0.03696719],[-0.14345258  0.26330591  0.00908117],0.20866473749416134,10.192888537184178
[ 3909438.23651938 -2188783.80111635 -5681335.09443862],[ 1025.18025981  7090.64290917 -1971.94611901],[ 3909680.72155347 -2188912.93586404 -5681840.60906793],[ 1027.34330785  7086.36967839 -1977.46325923],[567.01573836  47.63807908 -85.10923059],[ 6.84242698 -2.85842815 -1.43028776],[-0.43169447  0.17945321  0.02804073],[-0.16443374  0.04302869 -0.00251309],0.21974356398788597,9.599717871407815
[ 3919484.69639669 -2117763.74485663 -5700755.30412765],[  984.09311968  7113.24466175 -1912.06026545],[ 3919751.27124195 -2117945.94663087 -5701312.95546298],[  986.50596689  7107.93596696 -1917.27872024],[637.13899962   8.01679218 -96.04307709],[ 6.981073   -4.03397412 -1.09286296],[-0.65905498  0.13778709 -0.24118329],[ 0.0844959   0.01042216 -0.02695341],0.22951211009864003,8.496319557069697
[ 3929119.7341522  -2046521.38579966 -5719575.59913941],[  942.8965524   7135.10304136 -1851.9642292 ],[ 3929400.65492953 -2046771.68234093 -5720186.26683854],[  944.33552502  7128.29168599 -1857.27126382],[ 706.15543286  -48.48479861 -116.07587783],[ 6.85414421 -5.72081184 -2.00271617],[-0.10381062 -0.02028699 -0.01022907],[0.33170962 0.04790755 0.1137762 ],0.24595851839262825,6.702478203521368
[ 3938342.27704584 -1975064.17036324 -5737793.90905861],[  901.59486653  7156.21552335 -1791.66429681],[ 3938620.24134019 -1975385.49173381 -5738453.58103724],[  901.30411428  7149.11137245 -1796.5706424 ],[ 762.26924989 -112.35356628 -148.32720024],[ 5.55730518 -6.44424146 -3.22448681],[-0.71088821 -0.19984537  0.05083376],[ 0.35158078  0.01565336 -0.00509272],0.2448226877228715,4.89164602816446
[ 3947151.29549057 -1903399.56982193 -5755408.22646136],[  860.19238405  7176.57966109 -1731.1667799 ],[ 3947426.2133848  -1903803.35634078 -5756122.68513128],[  859.89318862  7168.33175377 -1736.65187593],[ 824.70107254 -187.0439613  -184.27503866],[ 6.17890865 -7.53283424 -3.59403135],[ 0.13073171  0.05992767 -0.09138487],[ 0.34727383  0.17318263 -0.02451583],0.2766410260367528,3.617912477766987
[ 3955545.80318436 -1831535.07952503 -5772416.60716244],[  818.6934399   7196.19308631 -1670.47801447],[ 3955817.39924428 -1832024.19934286 -5773198.40374763],[  818.3673228   7187.65865568 -1677.2187948 ],[ 896.26348502 -262.95126158 -227.54541529],[ 7.09175653 -7.66387649 -4.32615911],[-0.39774426  0.1468426   0.04137249],[ 0.34980566 -0.01442997  0.14210871],0.2935989821087382,2.343311581179162
[ 3963524.85723756 -1759478.21811126 -5788817.17045572],[  777.10238153  7215.05350945 -1609.60436024],[ 3963805.3128366  -1760065.1307473  -5789656.45340826],[  777.99501148  7205.27347635 -1615.3606057 ],[ 968.16644769 -353.28772212 -255.65440494],[ 7.11210554 -9.10705897 -2.80993667],[0.26367284 0.03875745 0.12738833],[ 0.10793545 -0.01116807  0.14320094],0.2964712456301447,0.3433115811791623
[ 3971087.55829568 -1687236.52672036 -5804608.09934803],[  735.42356845  7233.15871991 -1548.55219996],[ 3971377.47557959 -1687918.31976682 -5805503.28846995],[  736.37698226  7223.67031971 -1554.15104487],[1036.68210206 -442.56747847 -282.27929432],[ 6.77555973 -8.99789557 -2.6614918 ],[ 0.11683972 -0.12557772  0.72684411],[-0.0871377   0.1948294   0.14695809],-0.6919111020308488,5.551115123125783e-17
[-3691888.43117863 -5712611.08140085  1218338.35454465],[-4690.35773117  1803.94776559 -5684.88422309],[-3691462.03396023 -5712231.20583151  1218129.80548422],[-4687.93842846  1805.03106965 -5684.39632374],[-578.63483471  -16.07785054  185.83857895],[-2.11980075 -0.96473919  0.53407775],[0.31294411 0.05431842 0.46084794],[-4.31751874e-05 -6.31026930e-05 -7.12960704e-05],-0.01566353131646622,48.329173771212034
[-3738567.80525711 -5694226.50147677  1161416.77635929],[-4645.42322727  1872.93079238 -5699.31627309],[-3738121.98928745 -5693854.67891457  1161208.88093242],[-4643.47832257  1872.13193444 -5699.25145905],[-582.53669132  -24.08471842  200.73697887],[-0.40950654 -0.79639854  1.4886545 ],[ 0.1098384  -0.34232054  0.27028705],[-0.28335237 -0.11149434  0.07393633],-0.07716726789311631,46.329173771212034
[-3784795.02771193 -5675153.2279423   1104354.3347096 ],[-4599.92832151  1941.68510449 -5713.05663882],[-3784325.4203531  -5674783.14482357  1104134.48637106],[-4597.5461135   1941.51775362 -5714.25237577],[-596.27842316  -23.53431219  222.98891546],[-1.38424806  0.07009723  2.22388587],[0.35571509 0.44154202 0.15966463],[-0.22300601 -0.11907925  0.03475434],0.004321749076766667,44.861195898902
[-3830564.52208833 -5655393.58939282  1047157.95461241],[-4553.87853779  2010.20241694 -5726.1036994 ],[-3830088.92353143 -5655016.32505682  1046924.21859041],[-4553.27622644  2010.92725908 -5727.49277853],[-607.80343071   -8.18058638  231.65267567],[-1.14655388  1.54793227  0.86498868],[0.08237385 0.19655186 0.19125144],[-0.00881124 -0.06166637 -0.0966439 ],-0.04093738092971817,42.861195898902
[-3875870.7675038  -5634949.99712985   989834.5768747 ],[-4507.27946656  2078.47447364 -5738.45591772],[-3875394.66340152 -5634552.06980397   989577.08603285],[-4507.22548389  2080.54762391 -5740.8315418 ],[-628.3917347    21.85087151  236.5780499 ],[-2.03705174  3.02559828  0.4911171 ],[ 0.28371358 -0.21120732  0.01573646],[ 0.14811197 -0.28089364  0.08482198],0.06692701666559968,41.1113329037732
[-3920708.29930989 -5613824.94486694   932391.15725472],[-4460.13676408  2146.49304845 -5750.11184067],[-3920238.51391097 -5613401.41996777   932116.51984078],[-4460.76490624  2149.05976885 -5751.82647788],[-647.63670739   52.72879839  230.83270882],[-1.90215305  3.10876892 -0.57593344],[0.00459225 0.4853391  0.06737572],[-0.01295818 -0.26404418  0.08216444],0.07451129983780577,40.04250848886002
[-3965071.70974735 -5592021.00842523   874834.66562119],[-4412.45615179  2214.24994617 -5761.07009929],[-3964593.96095695 -5591564.3588831    874534.24212899],[-4411.65572675  2217.56957995 -5763.64851935],[-681.65602285   84.50119133  235.01404407],[-3.37907484  3.21443742  0.4167359 ],[ 0.08993712 -0.13625139  0.26330358],[-0.02092092 -0.26065821  0.02804875],0.11347662667573971,38.22312008372228
[-4008955.64859415 -5569540.84541871   817172.08511062],[-4364.2434156  2281.7370036 -5771.329409 ],[-4008477.61614633 -5569052.44308311   816845.474798  ],[-4364.21058947  2284.91965702 -5773.94770942],[-709.53841718  121.32606814  235.71461269],[-2.76040473  3.71293051  0.06865412],[-0.348032    0.5780635   0.00734278],[-0.05341894 -0.2594688   0.05385558],0.12180915192044808,37.43100821193569
[-4052354.82380674 -5546387.1949293    759410.41128297],[-4315.50440516  2348.94609052 -5780.88856974],[-4051881.9043904  -5545864.072701     759076.64733289],[-4316.01087776  2352.42557901 -5781.6034156 ],[-733.81632615  148.25145192  219.64316733],[-2.41130131  2.71906734 -1.60847763],[-0.2344438   0.11216751  0.37267583],[-0.00679824 -0.07256946 -0.06467292],0.08025643308848068,35.43100821193569
[-4095264.00215397 -5522562.8771717    701556.65127569],[-4266.24503319  2415.86911076 -5789.74646608],[-4094784.96258128 -5522003.08571169   701216.40288365],[-4265.62780458  2419.54369658 -5790.3942967 ],[-765.73178085  169.52568037  208.63902483],[-3.18176196  2.1623661  -1.10166744],[-0.1293868  -0.32945883  0.29693266],[ 0.00056396 -0.0684964  -0.02680913],0.0907184164615306,34.30125427470164
[-4137678.0098439  -5498070.79314805   643617.82295636],[-4216.47127469  2482.49800318 -5797.90206744],[-4137196.01734995 -5497489.11039035   643276.79876109],[-4216.17046926  2484.69490599 -5797.97894143],[-783.08028679  184.06073524  199.68977636],[-1.73292624  1.47249045 -0.89611857],[ 0.43955843 -0.39212935  0.34761851],[ 0.18883434 -0.07679901 -0.07062642],-0.006117612663013158,32.66992114153714
